tweetid,userid,user_display_name,user_screen_name,user_reported_location,user_profile_description,user_profile_url,follower_count,following_count,account_creation_date,account_language,tweet_language,tweet_text,tweet_time,tweet_client_name,in_reply_to_tweetid,in_reply_to_userid,quoted_tweet_tweetid,is_retweet,retweet_userid,retweet_tweetid,latitude,longitude,quote_count,reply_count,like_count,retweet_count,hashtags,urls,user_mentions,poll_choices
896449119111327745,306fa811b7752ad7737c5acd42395e999e5a8fb72a3a83ff2c983f86e5ee8d8b,306fa811b7752ad7737c5acd42395e999e5a8fb72a3a83ff2c983f86e5ee8d8b,306fa811b7752ad7737c5acd42395e999e5a8fb72a3a83ff2c983f86e5ee8d8b,Estados Unidos,"Patriot, Army Veteran from 44 yrs ago, love my rescued dogs, rifles, pistols, cigars, tobacco pipes, & freedom. God Bless Armed Forces #TRUMP2020",https://t.co/4srF9ALSJp,384,1876,2017-08-04,es,en,#adsnn Stephen King Tweets DEATH THREAT to President Trump https://t.co/ZRirLPAIai #adns https://t.co/HQy6vOEvNh,2017-08-12 19:11,IFTTT,,,,False,,,absent,absent,0.0,0.0,0.0,0.0,"[adsnn, adns]",[http://ift.tt/2vwDFQc],,
899733990684446720,2570631118,Politweecs,Politweecs,United States,Tweets and politics,,36094,20288,2014-05-29,en,en,Most Americans oppose sending more troops to Afghanistan — except in Trump's base https://t.co/QXvMVY6KuI,2017-08-21 20:44,Twitter Web Client,,,,False,,,absent,absent,0.0,0.0,0.0,1.0,[],[https://goo.gl/ofqEum],,
853421431220207617,cfb0d237487ebe3520cb83bd82df903c9c7afd5a60acba8a3576bc3ca9346467,cfb0d237487ebe3520cb83bd82df903c9c7afd5a60acba8a3576bc3ca9346467,cfb0d237487ebe3520cb83bd82df903c9c7afd5a60acba8a3576bc3ca9346467,USA,"Wife, Mother, Patriot, Friend",,2969,2398,2013-08-17,en,en,"RT @JohnTrump20: Ha, Trump is getting ready to fk that fat little homo up!💥 https://t.co/5ZjfxXTh3X",2017-04-16 01:34,Twitter Web Client,,,853384723237789696,True,773663429307564032,853385105322258432,absent,absent,0.0,0.0,0.0,0.0,[],[https://twitter.com/vesseykristine/status/853384723237789697],[773663429307564032],
822381118922047488,6ca21c26de8159386b71428b8bdadf732bd854614dadea9086770b71bbe1df6a,6ca21c26de8159386b71428b8bdadf732bd854614dadea9086770b71bbe1df6a,6ca21c26de8159386b71428b8bdadf732bd854614dadea9086770b71bbe1df6a,USA,"If we ever forget we are one Nation under GOD, then we will be a Nation gone under. #Reagan #Christian #2A #prolife #DogLover #Conservative #businessowner",,1781,1740,2013-08-18,en,en,RT @realDailyWire: Washington Post Calls Yale Professor 'Anti-Intellectual' For Joining Trump Cabinet https://t.co/wXdBGCmPuU,2017-01-20 09:51,Twitter Web Client,,,,True,4081106480,822377356081827840,absent,absent,0.0,0.0,0.0,0.0,[],[http://dld.bz/fusYQ],[4081106480],
827040692660744192,c863f6f0e2519b1a5b8b00e4f056fd0eab09a62bcf8be2b5e7eaafa42d89e535,c863f6f0e2519b1a5b8b00e4f056fd0eab09a62bcf8be2b5e7eaafa42d89e535,c863f6f0e2519b1a5b8b00e4f056fd0eab09a62bcf8be2b5e7eaafa42d89e535,United States,"Christian, Dad, Husband, Conservative. Trolls muted #tcot #PJNET",,1735,1768,2013-08-06,en,en,"RT @BIZPACReview: While unhinged leftists come unglued over refugee ban, the silent majority stands with Trump https://t.co/BosZhMf0dE http…",2017-02-02 06:27,Twitter Web Client,,,,True,237888723,827035100248371200,absent,absent,0.0,0.0,0.0,0.0,[],[http://dlvr.it/NGS4Lc],[237888723],
850624325715599360,a95a911dd6ae864c48ed062cdbe75e5c28dbe0cf57c6db3fa9dd53b654ee9845,a95a911dd6ae864c48ed062cdbe75e5c28dbe0cf57c6db3fa9dd53b654ee9845,a95a911dd6ae864c48ed062cdbe75e5c28dbe0cf57c6db3fa9dd53b654ee9845,United States,No more #HappyHolidays shit!!! It's #MerryChristmas!!!!! #BuildTheWall #DrainTheSwamp #MAGA🇺🇸 @realDonaldTrump,https://t.co/XFnhCqCWBy,2748,265,2016-06-15,en,en,RT @_Makada_: We voted for #AmericaFirst. We voted against globalism and regime change. President Trump needs to #KeepBannon and #FireKushn…,2017-04-08 08:20,Twitter for Android,,,,True,4510755552,850485674042155008,absent,absent,0.0,0.0,0.0,0.0,"[AmericaFirst, KeepBannon]",[],[4510755552],
775589426625912832,5625ccf109dc80b224458990f8709832900faecd798b9fa9f7d416f00db22e08,5625ccf109dc80b224458990f8709832900faecd798b9fa9f7d416f00db22e08,5625ccf109dc80b224458990f8709832900faecd798b9fa9f7d416f00db22e08,USA,"stand 4 conservatism, patriotism & optimism: Don't Take My Lemonade Stand & Obama 2012 Slogans.Protect our Kids! #WakeUpAmerica",,2271,2938,2014-05-30,en,en,"RT @Acosta: Trump has invited supporters on stage to say they are not ""deplorable.""",2016-09-13 06:58,Twitter Web Client,,,,True,22771961,775455134700670976,absent,absent,0.0,0.0,0.0,0.0,[],[],[22771961],
859597648894066688,cfb0d237487ebe3520cb83bd82df903c9c7afd5a60acba8a3576bc3ca9346467,cfb0d237487ebe3520cb83bd82df903c9c7afd5a60acba8a3576bc3ca9346467,cfb0d237487ebe3520cb83bd82df903c9c7afd5a60acba8a3576bc3ca9346467,USA,"Wife, Mother, Patriot, Friend",,2969,2398,2013-08-17,en,en,RT @RedNationRising: Are you voting for Hillary? 👇 NO! They're going to stay home or vote for Trump! 👏 #MAGA #RedNationRising https://t.co/…,2017-05-03 02:37,Twitter Web Client,,,,True,940368062,859592722050686976,absent,absent,0.0,0.0,0.0,0.0,"[MAGA, RedNationRising]",[],[940368062],
863391399802261504,a95a911dd6ae864c48ed062cdbe75e5c28dbe0cf57c6db3fa9dd53b654ee9845,a95a911dd6ae864c48ed062cdbe75e5c28dbe0cf57c6db3fa9dd53b654ee9845,a95a911dd6ae864c48ed062cdbe75e5c28dbe0cf57c6db3fa9dd53b654ee9845,United States,No more #HappyHolidays shit!!! It's #MerryChristmas!!!!! #BuildTheWall #DrainTheSwamp #MAGA🇺🇸 @realDonaldTrump,https://t.co/XFnhCqCWBy,2748,265,2016-06-15,en,en,RT @_Makada_: The liberal media is covering up how great the economy has been doing and all the jobs President Trump has brought back to Am…,2017-05-13 13:52,POTUSADJT Bot,,,,True,4510755552,863375037428109312,absent,absent,0.0,0.0,0.0,0.0,[],[],[4510755552],
810396581128183808,bc4ad3079a3cc886dc0b9594f01c0e2d67cbd9f9afe60beb03d50977600bf716,bc4ad3079a3cc886dc0b9594f01c0e2d67cbd9f9afe60beb03d50977600bf716,bc4ad3079a3cc886dc0b9594f01c0e2d67cbd9f9afe60beb03d50977600bf716,USA,"Conservative domestic goddess devoted to God, Family, Country, praying daily for #America! #tcot #ccot #RepealObamacare.",,3388,3407,2013-08-09,en,en,RT @LastGreatStand: Hillary Coup Attempting To Steal Presidency From Trump On December 19th Or January 6th - https://t.co/YhykIX71AC,2016-12-18 08:09,Twitter Web Client,,,,True,466090255,810267103563575296,absent,absent,0.0,0.0,0.0,0.0,[],[http://ln.is/www.youtube.com/UCFTf],[466090255],
