userid,follower_count,following_count,account_creation_date,year,,,total number of users,1674,,,,,,
320512f2ed4c859592281880879f45968f602137f08d862bcf2dc4ee6e204906,2,9,8/4/17,2017,,,,,,,,,,
2882350436,22035,9795,10/29/14,2014,,,,,,,,,,
9.05E+17,34276,34395,9/5/17,2017,,,,,,,,,,
91209785b60d61eb0604965dff5badb21fc0b432559f5c8c052455fb6f6044e5,41,162,5/30/14,2014,,,,,,,,,,
6c5cd0a29d4d9dc7821e34aea8dbd5bb4312bfb14b774fabccaecd44db86280d,994,900,8/6/13,2013,,,,,,,,,,
3e6d5f7855e2d3f14aacf9b915df707f8a0a83bd025bc1a7957a748e394dbf95,542,448,4/2/14,2014,,,,,,,,,,
2537507303,21009,5202,5/9/14,2014,,,,,,,,,,
77755623608ac46aacd68d114868ffebad0b2cbd4d29f0fe99143d93d51864ad,1114,896,8/8/13,2013,,,,,,,,,,
0dea399346f2f1a94e11fbc84897a35f1ccd3fcde6ea5f0e207ba0b296412e47,2883,1980,9/2/13,2013,,,,,,,,,,
7ca1009005708b6f4c4d25c1013ee0d5822494efc7a811000b62ee893e4d9855,791,2,7/9/15,2015,,,,,,,,,,
9a1f897e1fa9711af2b40d33277a8e51270fb3609903dec35890ea8a19dde985,3515,4214,8/9/13,2013,,,,,,,,,,
248e38be332960041c27149ac0cf9de6d7767f4221621313289792bbc7c762cb,2526,2579,11/19/15,2015,,,,,,,,,,
c36569f7b2c5d0681e59b1f685fdcae3648138035dc8072a24a01b76e65b9434,2563,2584,6/13/13,2013,,,,,,,,,,
2c209a20c56ade1978b47d82fc95a04b94c15446ad844ead45f690e9c93a795f,51,315,6/9/14,2014,,,,,,,,,,
e1c4cd815926b92691660738cd682335520a24fb08765655c261b07ef591b653,1075,857,8/8/13,2013,,,,,,,,,,
853b9bded2f6b8fcbd3a24fe59e7632bc04727506f2ad3295f44632e42415ded,84,208,3/19/14,2014,,,,,,,,,,
91ac0712d55558c49d1e025ac13576186ba015121ffb023ad388d590ac642eb3,66,181,6/17/14,2014,,,,,,,,,,
350cf55b4c13ab61b4402ae7ac6bb0fa891a8fd54016c0dc77a037c538ea5598,800,1897,12/22/13,2013,,,,,,,,,,
0994abf9fb8fe1bf699d0e101e9603b30f369e94a0eec1109e2f654b1a9c5caf,1555,1075,9/18/13,2013,,,,,,,,,,
ac9c455dd7f3357000049da8219a1a87c18bfbd06b4c07950157ed4ebfad4ba4,563,1111,6/7/14,2014,,,,,,,,,,
2577082467,18361,5516,6/2/14,2014,,,,,,,,,,
2752677905,66980,10500,8/27/14,2014,,,,,,,,,,
cc696b8833483f783db366ea3a7e36a45d7aa49fe4e60d329308b54abb056bdb,88,0,6/13/15,2015,,,,,,,,,,
93a00b4e2d4198865a35726aab0d5c1a4205301471411a85054b714b3b89c4a9,2127,2490,5/30/14,2014,,,,,,,,,,
2de7f0f489dbb292f8c5c859c72d47620e1a2cf02c7eb88b4ecaffb7efd89fa7,1954,179,6/24/14,2014,,,,,,,,,,
1650681522,5172,2833,8/6/13,2013,,,,,,,,,,
afe3c426e91f3f0e507f9cf7beceeddb2537f56e4fd3b2aab12f87fc6eee3edd,1839,1965,6/6/14,2014,,,,,,,,,,
cd08e4b204df337b04b4b0955d3479ca3d7de11f3dc271b9078e29d6d097a997,3378,1829,3/15/15,2015,,,,,,,,,,
2630842499,22715,8255,6/22/14,2014,,,,,,,,,,
bbc4027544fc368bfd365de9b36c11bb607eb621a835abbc12914da16c9175b9,576,472,6/1/14,2014,,,,,,,,,,
2882013788,28107,13442,10/29/14,2014,,,,,,,,,,
9a20e9a93141dad30b444680ba33bc8e47a7f664a89b4468fce151170711ac72,1,0,6/12/14,2014,,,,,,,,,,
2102d9a41e7ffa7e3f9d67b5b41a3ff77eed1d7d2a8c2c2270f3ad21bc23ad40,4305,5033,11/9/15,2015,,,,,,,,,,
7c98fcf3412346d244ebad13c593b0426597f333e2c58b2e9ddeab011d0745c3,377,4,6/24/15,2015,,,,,,,,,,
83216c1bdaf0245f9ac5b98a8c4b3cf2a1634b74d8b38dce5641f292a56c10d6,874,760,8/18/13,2013,,,,,,,,,,
9ebdcf10ebedc9abf33a34e07792e18230ecd26cea77ab0f3fcdfac11fe2116f,3132,1779,3/14/15,2015,,,,,,,,,,
d9a2df2138b848f6c1b9c78d29b8daa0dce18a0e2270301ad5fdd8148094734c,22,4,6/10/15,2015,,,,,,,,,,
c465bceee4e65cc392661fafdecabc98450eb1f0b67e66a5a0d69be631f34ca5,2652,2310,8/18/13,2013,,,,,,,,,,
fdab79e1da1815564351c5acfc79e85702b0598650605e5488a25ef59b52ca5b,22,124,5/14/14,2014,,,,,,,,,,
4728ce55f167bdbe09054a661cd4eb00f0c35d50d1d0b8b6d918b47c86335ec7,2310,2493,6/12/14,2014,,,,,,,,,,
03a9d7c823d499979ebf80b7aeb216ed64eb9034a146f917a07aea80abab7b13,86,41,12/27/12,2012,,,,,,,,,,
3312143142,28943,12906,8/11/15,2015,,,,,,,,,,
80b4e8619631959b3bf95991166381f8df8e9b0748a73e360d6ad1e7bc19cde7,4926,4453,9/4/13,2013,,,,,,,,,,
4188a238189b84504e938657369f0084adc37a0cda236d98c181b992a0a09317,833,542,8/8/13,2013,,,,,,,,,,
4859142199,25373,12977,2/4/16,2016,,,,,,,,,,
f8d82815f7d03fec70e6e8f50f859b84714024b1024979f418110feb8db9d798,2000,1845,6/20/13,2013,,,,,,,,,,
dffbeaf773e2ff47463e613469eee0e0b501443ad7cb518e8d8915c4ad3f274d,54,375,8/28/14,2014,,,,,,,,,,
09b49f7fd9c9f3b1598fb5b28d9b19983529d16d4377b5d0cb3c698a4add8563,24,38,6/18/14,2014,,,,,,,,,,
2753211010,18574,7903,8/28/14,2014,,,,,,,,,,
2569229674,7446,7377,5/28/14,2014,,,,,,,,,,
a317054d08e59498204d8262cef56217bab7e9f33a0e32ca580258fe312662d3,997,889,8/14/13,2013,,,,,,,,,,
0512ea612cfe45a7d9c8c0fd42466e8a8068a6fb3efb34baf7e7be40da578539,4946,4236,5/5/14,2014,,,,,,,,,,
14882528f53ed4b8fbadce206679b89258e363212b5a63f31777f4e93e1a5ccf,2937,2526,7/28/13,2013,,,,,,,,,,
52c0f4529b1ac033034e371d9cc6e1fc1724bf0183d0184b970c83e8841fcee2,60,300,6/16/14,2014,,,,,,,,,,
2c4b080ef7a27eccc03df74065f54f09ed4ccb3234f43d118a38e2c7bec58460,34,269,6/10/14,2014,,,,,,,,,,
dcd4ed3485b1681194a744d71e99cf257645fd0fa060de1f879bc2c62c3fb057,39,242,5/14/14,2014,,,,,,,,,,
2601235821,20790,10408,6/11/14,2014,,,,,,,,,,
815561925624b72a95321d039bf8bdf0da5620f8475e62ce2dee37beb71abcab,2212,1935,8/16/13,2013,,,,,,,,,,
5625ccf109dc80b224458990f8709832900faecd798b9fa9f7d416f00db22e08,2271,2938,5/30/14,2014,,,,,,,,,,
3074013672,15884,13099,3/11/15,2015,,,,,,,,,,
39160f38b40ac3e4ac143f2dc3d4bbab99a92f127d4fc80f6456bfce61c9d782,135,332,12/23/13,2013,,,,,,,,,,
462022323c7782684e32785dde1e9c880a422868e00ab4a21a88b4f7d85131f7,185,3,6/25/15,2015,,,,,,,,,,
2878166306,22026,12966,10/26/14,2014,,,,,,,,,,
a8cd623b11d16c6d80912f9036345f475c9bf36d8a72819e34b6cafb187ec2d7,105,138,6/19/13,2013,,,,,,,,,,
cc9546eafdad2af45c426b859827f5a136b6898b6fb1cfb0f5016475118960af,123,481,7/29/14,2014,,,,,,,,,,
af4c130438b64a01ae7d5baa155246c4fce896f60b46ac4087397ae3287e8dbd,27,158,5/12/14,2014,,,,,,,,,,
985a73535295d9e5087f36b6db13ae7fd02e3375aea02709950040c0559c40e1,55,88,5/12/14,2014,,,,,,,,,,
8a73099860c2a4790ae6899381c0c327462e626c02ce0d3c899ce6058135786a,1219,4294,11/26/16,2016,,,,,,,,,,
9db51e914e3697f417f9c4c25d901767a19e09ce4c07a316dd6e451ffb208d59,4559,3506,6/5/14,2014,,,,,,,,,,
49f642cdd3c609047ae7226c70f6af88a66880923b4d86e994c056bed1fab11a,2097,2013,3/10/15,2015,,,,,,,,,,
47403a4a74013c25e8d0aaf3053e8aa9122499d04fe5354cf7252ae4aef09729,898,842,7/27/13,2013,,,,,,,,,,
73824eacf3a3107d4fe3c2d2730f3981e33a9f8380701b8738ce7d35b0563631,1717,2099,9/1/13,2013,,,,,,,,,,
080da9e6b0c293d8e7abe6115605790ec8bc9a5c75a2b3e60539e67e3f100875,4604,1988,3/15/15,2015,,,,,,,,,,
6900f3b394a989c5e1f0af96d496e545a20bf38d6cda64549d1db2952d8d0e9a,782,1038,8/7/13,2013,,,,,,,,,,
4840551713,29472,12379,1/24/16,2016,,,,,,,,,,
a17822288f5848e304b3a1f7fdbffdf05d1a3eb06eaacb608bd796ddfb504440,691,606,11/9/13,2013,,,,,,,,,,
ca1079af614db298e607bb72de4e1ba989fa8a85fd018138c824d3048011b367,2834,2792,6/20/13,2013,,,,,,,,,,
b20786822be5f07949706b899ffbe8974467324810dca9efa7429b61832ed518,174,109,8/15/13,2013,,,,,,,,,,
cfb0d237487ebe3520cb83bd82df903c9c7afd5a60acba8a3576bc3ca9346467,2969,2398,8/17/13,2013,,,,,,,,,,
f0a624171ca1c8d3177521f1362bf9eb78f1015ec3085a1eefdfa3ff9dbf73cb,979,617,8/7/13,2013,,,,,,,,,,
80f92e973543912617d5c7ec3bc42bd455b6970b7a52416f398ce923389d3a85,1798,1905,8/29/13,2013,,,,,,,,,,
e3927897e75b20bdbf65d9951ccd1e3d920dfca086e5c430b2c29909458e7581,67,300,6/22/14,2014,,,,,,,,,,
d77dd3dcb77dc8da05a67e4f7733be76e1fb115b311a3db2ef61b00a3f590455,78,301,3/19/14,2014,,,,,,,,,,
166084d25a6d0ab705f0701af4361aa6d16d4e27508ce366a8565af81d953e76,384,380,9/2/14,2014,,,,,,,,,,
4f098d47613d423b734cbbd4355f1a455e1ed7721ddc10d3a3d823c9ce9fe607,269,969,8/8/17,2017,,,,,,,,,,
393955df00832382d3f4d8dbff2d7487fe723e1a5601978070c5ba3231084ecd,4551,4518,8/3/14,2014,,,,,,,,,,
f78a269be68e66b4a8c9bb5adbe49f617b6b3845134de4b9d8afe7a350bfb2cd,806,466,9/12/13,2013,,,,,,,,,,
4ec1ef023812e2667c109fcf22172e246df7f1e88073aba76cd1b0eab12d4aa6,4228,4023,5/29/14,2014,,,,,,,,,,
2aae433624dcea729731ff8e44b0bdedc56e7cc9eea9bedd14bb264b07eedd5c,1787,1856,3/10/15,2015,,,,,,,,,,
8d313bc4410c3158379fb24df70f09dc2f5c96cef6aa527df856b61d1ffdd89e,802,493,9/15/13,2013,,,,,,,,,,
6ad81d2b9011fd17c3a406866a53e6dffed3126323ba386665fb674328c01269,121,199,3/23/14,2014,,,,,,,,,,
4b354bd093aab81a97fc1f382b62eb4b60cc5b2358f4114045554a2b115cfd92,174,128,8/14/13,2013,,,,,,,,,,
6791992ed85cd2e739f57d9e4f1a4d1ac119577cdece986e1e049ade25c2d793,1151,1269,5/13/14,2014,,,,,,,,,,
958f3421a1791d5dbe2434885dd8d162954d77854aaf971c360a09f3658cc066,89,389,6/12/14,2014,,,,,,,,,,
96d4f0c1f4b4ed7638342a48c66c401263da4b151fdffcb98d7b775c996c3fb6,921,951,8/22/13,2013,,,,,,,,,,
3969530725,12421,9410,10/21/15,2015,,,,,,,,,,
744bfe3c277a12f0f05439051a74914c86458b07559988f11105b334373cb8f8,55,104,12/13/13,2013,,,,,,,,,,
66ea134323c09905ee9d91652300c5c9487327a0ef9660b0b7aced9150eedb4c,646,2012,1/31/14,2014,,,,,,,,,,
2616344667,7067,5350,6/17/14,2014,,,,,,,,,,
85722e04d52ae21ade22cdf2ce62cf03d2e8eba20a1602b66cb7e65e2713d723,2736,3160,5/6/14,2014,,,,,,,,,,
5049f34e1bd172f838ef92f24e3cf38368718a20f5f9c23e471854f5298be26b,110,118,8/12/13,2013,,,,,,,,,,
eb9671953a50af35eddacb9ff6ce131031d4dfc682251fc3185f15a2cbe75539,169,965,8/8/17,2017,,,,,,,,,,
6183ad40df50200d0001e2b2e0acfcdb1d5f71ddee9495874a3b1fa2b00b6e25,1149,1204,8/9/13,2013,,,,,,,,,,
